symbol,coinbase_pair,start_date,end_date,days_covered,data_age_group,market_cap,market_cap_rank,market_cap_tier,categories,crypto_family,category_list,family_list,notes,consolidated_categories_list,consolidated_categories
PENGU,PENGU-USD,2/13/2025 17:00,7/30/2025 3:00,167,New,2223676089,38,Mid Cap,"NFTs, Meme",Ethereum,"['NFTs', 'Meme']",['Ethereum'],,"['NFTs & Digital Collectibles', 'Meme & Community Tokens']","NFTs & Digital Collectibles, Meme & Community Tokens"
BONK,BONK-USD,12/14/2023 17:00,7/30/2025 1:00,594,New,2195732954,39,Mid Cap,"Meme, Solana Ecosystem",Solana,"['Meme', 'Solana Ecosystem']",['Solana'],,['Meme & Community Tokens'],Meme & Community Tokens
ARB,ARB-USD,3/23/2023 16:00,7/30/2025 0:00,860,Established,2159134474,40,Mid Cap,"Layer-2, Scaling",Ethereum Layer-2,"['Layer-2', 'Scaling']",['Ethereum Layer-2'],,['Layer 2 / Scaling'],Layer 2 / Scaling
MATIC,MATIC-USD,3/11/2021 17:00,7/30/2025 2:00,1602,Established,2130501715,41,Mid Cap,"Layer-2, Scaling","Multi Chain, Ethereum, Polygon","['Layer-2', 'Scaling']","['Multi Chain', 'Ethereum', 'Polygon']",,['Layer 2 / Scaling'],Layer 2 / Scaling
VET,VET-USD,9/13/2023 16:00,7/30/2025 3:00,686,New,2127625391,42,Mid Cap,"Supply Chain, Enterprise",VeChainThor,"['Supply Chain', 'Enterprise']",['VeChainThor'],,['Other / Specialized'],Other / Specialized
RENDER,RENDER-USD,2/15/2024 17:00,7/30/2025 3:00,531,New,2039814997,43,Mid Cap,"Distributed Computing, GPU",Ethereum,"['Distributed Computing', 'GPU']",['Ethereum'],,['AI & Big Data'],AI & Big Data
FET,FET-USD,7/27/2021 16:00,7/30/2025 1:00,1464,Established,1997978011,44,Mid Cap,"AI, DeFi",Ethereum,"['AI', 'DeFi']",['Ethereum'],,"['DeFi', 'AI & Big Data']","DeFi, AI & Big Data"
POL,POL-USD,9/4/2024 22:00,7/30/2025 3:00,329,New,1972529328,45,Mid Cap,"Layer-2, Scaling",Ethereum,"['Layer-2', 'Scaling']",['Ethereum'],,['Layer 2 / Scaling'],Layer 2 / Scaling
WLD,WLD-USD,4/30/2025 20:00,7/30/2025 3:00,91,New,1953566183,46,Mid Cap,"Digital Identity, UBI",Ethereum,"['Digital Identity', 'UBI']",['Ethereum'],,['Privacy & Security'],Privacy & Security
TRUMP,TRUMP-USD,1/21/2025 18:00,7/30/2025 3:00,190,New,1873377904,47,Mid Cap,"Meme, Collectible",Ethereum,"['Meme', 'Collectible']",['Ethereum'],,"['NFTs & Digital Collectibles', 'Meme & Community Tokens']","NFTs & Digital Collectibles, Meme & Community Tokens"
FIL,FIL-USD,12/9/2020 17:00,7/30/2025 1:00,1694,Established,1850322835,48,Mid Cap,Decentralized Storage,Filecoin,['Decentralized Storage'],['Filecoin'],,['Other / Specialized'],Other / Specialized
SKY,SKY-USD,7/10/2025 16:00,7/30/2025 3:00,20,New,1834545337,49,Mid Cap,"Stablecoin Platform, DeFi",Solana,"['Stablecoin Platform', 'DeFi']",['Solana'],,"['DeFi', 'Stablecoins']","DeFi, Stablecoins"
SEI,SEI-USD,8/15/2023 16:00,7/30/2025 3:00,715,New,1815535654,50,Mid Cap,"DeFi, Exchange Optimized",Cosmos,"['DeFi', 'Exchange Optimized']",['Cosmos'],,['DeFi'],DeFi
IP,IP-USD,2/13/2025 16:00,7/30/2025 2:00,167,New,1750345859,51,Mid Cap,"Web3, IP Management",Story Network,"['Web3', 'IP Management']",['Story Network'],,['Other / Specialized'],Other / Specialized
FLR,FLR-USD,4/14/2023 17:00,7/30/2025 1:00,838,Established,1710896907,52,Mid Cap,"Smart Contracts, Data",Flare,"['Smart Contracts', 'Data']",['Flare'],,['Infrastructure & Data'],Infrastructure & Data
FORT,FORT-USD,6/15/2022 16:00,7/30/2025 1:00,1141,Established,1710896907,53,Mid Cap,"Security, Monitoring",Ethereum,"['Security', 'Monitoring']",['Ethereum'],,"['Privacy & Security', 'Infrastructure & Data']","Privacy & Security, Infrastructure & Data"
QNT,QNT-USD,6/24/2021 16:00,7/30/2025 3:00,1497,Established,1649658157,54,Mid Cap,"Enterprise, Interoperability",Ethereum,"['Enterprise', 'Interoperability']",['Ethereum'],,['Layer 2 / Scaling'],Layer 2 / Scaling
LSETH,LSETH-USD,3/7/2023 15:00,7/30/2025 0:00,876,Established,1396917159,55,Mid Cap,Liquid Staking,Ethereum,['Liquid Staking'],['Ethereum'],,['DeFi'],DeFi
CRV,CRV-USD,3/25/2021 16:00,7/30/2025 1:00,1588,Established,1388356301,56,Mid Cap,"DeFi, DEX",Ethereum,"['DeFi', 'DEX']",['Ethereum'],,['DeFi'],DeFi
STX,STX-USD,1/20/2022 18:00,7/30/2025 3:00,1287,Established,1363186744,57,Mid Cap,Bitcoin Smart Contracts,Bitcoin,['Bitcoin Smart Contracts'],['Bitcoin'],,['Other / Specialized'],Other / Specialized
INJ,INJ-USD,9/20/2022 16:00,7/30/2025 2:00,1044,Established,1356298234,58,Mid Cap,"DeFi, Derivatives",Cosmos,"['DeFi', 'Derivatives']",['Cosmos'],,['DeFi'],DeFi
TIA,TIA-USD,11/1/2023 18:00,7/30/2025 3:00,637,New,1318115544,59,Mid Cap,"Modular Blockchain, Data Availability",Celestia ,"['Modular Blockchain', 'Data Availability']",['Celestia'],,['Infrastructure & Data'],Infrastructure & Data
OP,OP-USD,6/1/2022 1:00,7/30/2025 2:00,1156,Established,1253663420,60,Mid Cap,"Layer-2, Scaling",Ethereum (Layer-2),"['Layer-2', 'Scaling']",['Ethereum (Layer-2)'],,['Layer 2 / Scaling'],Layer 2 / Scaling
